Kufer;Kovèek
Prtljaga;Prtljaga
Podruèje za preuzimanje prtljage;Prostor za prevzem prtljage
Pokretna traka;Tekoèi trak
Kolica za prtljagu;Vozièek za prtljago
Potvrda za preuzimanje prtljage;Listek za prevzem prtljage
Izgubljena prtljaga;Izgubljena prtljaga
Odjel za izgubljene i naðene stvari;Izgubljeno in najdeno
Mjenjaènica;Menjalnica
Autobusna stanica;Avtobusno postajališèe
Najam automobila;Najem avtomobila
Koliko torbi imate?;Koliko kosov prtljage imate?
Gdje mogu preuzeti svoju prtljagu?;Kje lahko prevzamem prtljago?
Možete li mi pomoæi oko prtljage; molim vas?;Mi lahko pomagate s prtljago?
Mogu li vidjeti vašu potvrdu za preuzimanje prtljage?;Lahko vidim vaš listek za prevzem prtljage?
Idem na odmor;Grem na dopust
Idem na poslovni put;Grem na poslovno potovanje

Dobro došli;Dobrodošli
