Imam rezervaciju;Imam rezervacijo
Nemam rezervaciju;Nimam rezervacije
Imate li slobodnu sobu?;Ali imate kakšno prosto sobo?
Mogu li vidjeti sobu?;Lahko vidim sobo?
Koliko košta noæenje?;Koliko stane ena noèitev?
Koliko košta tjedno?;Koliko stane na teden?
Ostat æu tri tjedna;Ostal bom tri tedne
Ostajemo dva tjedna;Tukaj smo za dva tedna
Ja sam gost;Jaz sem gost
Trebamo tri kljuèa;Potrebujemo tri kljuèe
Gdje je dizalo?;Kje je dvigalo?
Ima li soba braèni krevet?;Ali ima soba zakonsko posteljo?
Ima li svoju kupaonicu?;Ali ima lastno kopalnico?
Željeli bismo pogled na more;Želimo sobo s pogledom na morje

Hotelska soba;Hotelska soba
